text,label
Na ogół To jest zdanie w języku polskim.!,0
Na ogół Mój pies szczeka na listonosza....,0
Czasami Każdego ranka piję herbatę. :),0
"Myślę, że Lubię gotować zupę pomidorową.!",0
Na ogół Warszawa jest pięknym miastem.,0
Meiner Meinung nach Ich koche gerne Tomatensuppe.,2
Czasami To jest zdanie w języku polskim.,0
Usually Every morning I drink tea..,1
Tatsächlich Diese Aufgabe war sehr schwierig..,2
Basically On weekends I go for walks.,1
Im Allgemeinen Ich koche gerne Tomatensuppe..,2
Manchmal Diese Aufgabe war sehr schwierig.!,2
In my opinion I like cooking tomato soup. :),1
Moim zdaniem To jest zdanie w języku polskim.,0
Have you read this book in English?.,1
Zazwyczaj To zadanie było bardzo trudne.,0
In my opinion This is a sentence in English. :),1
Generally I enjoy walking in the forest and collecting mushrooms....,1
Usually Have you read this book in English?!,1
Na ogół Czy czytałeś tę książkę po polsku? :),0
Tatsächlich Diese Aufgabe war sehr schwierig. :),2
Manchmal Ich gehe gerne im Wald spazieren und sammle Pilze.,2
Na ogół W weekendy chodzę na spacery.,0
Naprawdę Uwielbiam chodzić po lesie i zbierać grzyby....,0
Im Allgemeinen Ich gehe gerne im Wald spazieren und sammle Pilze.,2
Zazwyczaj Uwielbiam chodzić po lesie i zbierać grzyby....,0
Usually I like cooking tomato soup.!,1
Sometimes I enjoy walking in the forest and collecting mushrooms....,1
"Myślę, że Warszawa jest pięknym miastem.",0
Actually Have you read this book in English?...,1
W zasadzie Lubię oglądać polskie filmy historyczne....,0
Ich denke Diese Aufgabe war sehr schwierig....,2
Im Allgemeinen Ich sehe gerne historische deutsche Filme. :),2
"Myślę, że To zadanie było bardzo trudne....",0
"Myślę, że Każdego ranka piję herbatę. :)",0
Üblicherweise Ich koche gerne Tomatensuppe.,2
In my opinion My dog barks at the mailman. :),1
I enjoy walking in the forest and collecting mushrooms.,1
W zasadzie Warszawa jest pięknym miastem.,0
Naprawdę Mój pies szczeka na listonosza.!,0
Am Wochenende gehe ich spazieren..,2
Tatsächlich Jeden Morgen trinke ich Tee..,2
Na ogół W weekendy chodzę na spacery....,0
I think I like watching historical English movies..,1
Naprawdę To jest zdanie w języku polskim.!,0
In my opinion London is a beautiful city. :),1
Sometimes London is a beautiful city..,1
Grundsätzlich Ich koche gerne Tomatensuppe.,2
Czasami Mój pies szczeka na listonosza.!,0
Actually I like watching historical English movies.,1
I think My dog barks at the mailman..,1
Basically On weekends I go for walks..,1
Meiner Meinung nach Jeden Morgen trinke ich Tee.,2
I think London is a beautiful city....,1
Basically This task was very difficult.,1
Basically I like cooking tomato soup.!,1
Moim zdaniem W weekendy chodzę na spacery.,0
Tatsächlich Jeden Morgen trinke ich Tee.,2
In my opinion I enjoy walking in the forest and collecting mushrooms.!,1
W zasadzie Czy czytałeś tę książkę po polsku?,0
In my opinion Have you read this book in English? :),1
Zazwyczaj To zadanie było bardzo trudne.!,0
Basically I enjoy walking in the forest and collecting mushrooms.!,1
Ich denke Ich koche gerne Tomatensuppe. :),2
Im Allgemeinen Jeden Morgen trinke ich Tee.!,2
Na ogół Lubię oglądać polskie filmy historyczne. :),0
Usually This task was very difficult.,1
I enjoy walking in the forest and collecting mushrooms. :),1
Grundsätzlich Hast du dieses Buch auf Deutsch gelesen?,2
Ich koche gerne Tomatensuppe....,2
Ich sehe gerne historische deutsche Filme.!,2
Na ogół Lubię gotować zupę pomidorową.,0
W zasadzie To jest zdanie w języku polskim.,0
Tatsächlich Hast du dieses Buch auf Deutsch gelesen? :),2
Usually This task was very difficult..,1
I think This task was very difficult.!,1
I think I enjoy walking in the forest and collecting mushrooms..,1
Moim zdaniem To zadanie było bardzo trudne.!,0
Grundsätzlich Dies ist ein Satz auf Deutsch.,2
Czasami Mój pies szczeka na listonosza....,0
Warszawa jest pięknym miastem....,0
Basically Have you read this book in English?!,1
"Myślę, że Każdego ranka piję herbatę.",0
Na ogół To zadanie było bardzo trudne....,0
Na ogół Warszawa jest pięknym miastem. :),0
Usually London is a beautiful city.!,1
Grundsätzlich Jeden Morgen trinke ich Tee..,2
Sometimes This task was very difficult.!,1
Diese Aufgabe war sehr schwierig.!,2
W zasadzie To zadanie było bardzo trudne....,0
W zasadzie To jest zdanie w języku polskim....,0
This is a sentence in English..,1
Basically Every morning I drink tea....,1
Ich denke Berlin ist eine wunderschöne Stadt. :),2
In my opinion I like watching historical English movies..,1
"Myślę, że To zadanie było bardzo trudne. :)",0
Sometimes Have you read this book in English?...,1
Üblicherweise Diese Aufgabe war sehr schwierig..,2
Have you read this book in English? :),1
Tatsächlich Ich koche gerne Tomatensuppe..,2
"Myślę, że W weekendy chodzę na spacery....",0
Na ogół To zadanie było bardzo trudne. :),0
Grundsätzlich Diese Aufgabe war sehr schwierig. :),2
Czasami Czy czytałeś tę książkę po polsku? :),0
I think This is a sentence in English..,1
Üblicherweise Mein Hund bellt den Briefträger an.,2
Na ogół To jest zdanie w języku polskim. :),0
I think Have you read this book in English?!,1
Ich denke Dies ist ein Satz auf Deutsch..,2
Actually My dog barks at the mailman.!,1
"Myślę, że To jest zdanie w języku polskim.!",0
Generally My dog barks at the mailman....,1
This task was very difficult. :),1
Actually This is a sentence in English.!,1
Üblicherweise Ich sehe gerne historische deutsche Filme. :),2
"Myślę, że Czy czytałeś tę książkę po polsku? :)",0
Generally I like cooking tomato soup..,1
Tatsächlich Ich gehe gerne im Wald spazieren und sammle Pilze.!,2
To jest zdanie w języku polskim....,0
Czasami Każdego ranka piję herbatę.,0
Naprawdę Mój pies szczeka na listonosza. :),0
Üblicherweise Ich koche gerne Tomatensuppe.!,2
Sometimes This is a sentence in English.!,1
Grundsätzlich Ich koche gerne Tomatensuppe. :),2
Sometimes I like watching historical English movies..,1
Naprawdę Mój pies szczeka na listonosza....,0
Üblicherweise Dies ist ein Satz auf Deutsch. :),2
In my opinion On weekends I go for walks.!,1
Moim zdaniem W weekendy chodzę na spacery....,0
"Myślę, że Uwielbiam chodzić po lesie i zbierać grzyby. :)",0
I think I enjoy walking in the forest and collecting mushrooms....,1
Hast du dieses Buch auf Deutsch gelesen?,2
Moim zdaniem Lubię oglądać polskie filmy historyczne. :),0
Actually On weekends I go for walks.,1
Na ogół Warszawa jest pięknym miastem.!,0
Meiner Meinung nach Ich sehe gerne historische deutsche Filme....,2
Na ogół Czy czytałeś tę książkę po polsku?...,0
Mój pies szczeka na listonosza..,0
Grundsätzlich Ich gehe gerne im Wald spazieren und sammle Pilze. :),2
Ich denke Am Wochenende gehe ich spazieren. :),2
Basically I like cooking tomato soup.,1
Tatsächlich Am Wochenende gehe ich spazieren.!,2
Manchmal Mein Hund bellt den Briefträger an. :),2
Üblicherweise Ich gehe gerne im Wald spazieren und sammle Pilze....,2
Actually I like cooking tomato soup. :),1
Jeden Morgen trinke ich Tee....,2
Naprawdę W weekendy chodzę na spacery....,0
Uwielbiam chodzić po lesie i zbierać grzyby.!,0
Na ogół Uwielbiam chodzić po lesie i zbierać grzyby....,0
Berlin ist eine wunderschöne Stadt....,2
Sometimes Every morning I drink tea.!,1
Grundsätzlich Berlin ist eine wunderschöne Stadt..,2
Meiner Meinung nach Ich gehe gerne im Wald spazieren und sammle Pilze..,2
Tatsächlich Ich sehe gerne historische deutsche Filme..,2
Basically London is a beautiful city....,1
"Myślę, że To zadanie było bardzo trudne.!",0
Meiner Meinung nach Ich gehe gerne im Wald spazieren und sammle Pilze....,2
Hast du dieses Buch auf Deutsch gelesen?...,2
W weekendy chodzę na spacery....,0
Naprawdę To zadanie było bardzo trudne.!,0
Czasami Lubię gotować zupę pomidorową.,0
Actually I like cooking tomato soup.,1
Manchmal Ich sehe gerne historische deutsche Filme....,2
In my opinion I enjoy walking in the forest and collecting mushrooms..,1
Berlin ist eine wunderschöne Stadt..,2
Meiner Meinung nach Hast du dieses Buch auf Deutsch gelesen?!,2
Generally I like cooking tomato soup. :),1
Naprawdę To zadanie było bardzo trudne. :),0
Üblicherweise Ich gehe gerne im Wald spazieren und sammle Pilze.!,2
W zasadzie Lubię oglądać polskie filmy historyczne.,0
"Myślę, że To jest zdanie w języku polskim. :)",0
Berlin ist eine wunderschöne Stadt. :),2
Na ogół Każdego ranka piję herbatę....,0
I think This task was very difficult....,1
Üblicherweise Hast du dieses Buch auf Deutsch gelesen?!,2
Sometimes My dog barks at the mailman.,1
On weekends I go for walks.!,1
Manchmal Hast du dieses Buch auf Deutsch gelesen? :),2
In my opinion London is a beautiful city.,1
In my opinion Have you read this book in English?...,1
Manchmal Berlin ist eine wunderschöne Stadt..,2
Naprawdę Lubię oglądać polskie filmy historyczne..,0
"Myślę, że W weekendy chodzę na spacery..",0
Tatsächlich Berlin ist eine wunderschöne Stadt..,2
Czasami Warszawa jest pięknym miastem. :),0
Basically This task was very difficult..,1
Usually London is a beautiful city.,1
W zasadzie Każdego ranka piję herbatę..,0
Basically Every morning I drink tea. :),1
Sometimes Have you read this book in English? :),1
W zasadzie W weekendy chodzę na spacery....,0
In my opinion London is a beautiful city..,1
In my opinion I like watching historical English movies....,1
Sometimes Have you read this book in English?.,1
Tatsächlich Ich sehe gerne historische deutsche Filme.,2
Generally London is a beautiful city. :),1
Sometimes London is a beautiful city.,1
Im Allgemeinen Jeden Morgen trinke ich Tee..,2
Grundsätzlich Jeden Morgen trinke ich Tee.,2
Uwielbiam chodzić po lesie i zbierać grzyby.,0
I think Have you read this book in English?...,1
Generally This task was very difficult....,1
Üblicherweise Mein Hund bellt den Briefträger an.!,2
Basically I enjoy walking in the forest and collecting mushrooms. :),1
Dies ist ein Satz auf Deutsch. :),2
In my opinion Have you read this book in English?.,1
Usually This is a sentence in English....,1
Generally On weekends I go for walks.!,1
Tatsächlich Hast du dieses Buch auf Deutsch gelesen?,2
Generally This task was very difficult. :),1
Tatsächlich Ich koche gerne Tomatensuppe.,2
I like watching historical English movies.!,1
In my opinion This task was very difficult....,1
Czasami W weekendy chodzę na spacery. :),0
Sometimes On weekends I go for walks.!,1
Actually I like cooking tomato soup..,1
Zazwyczaj Każdego ranka piję herbatę.,0
Im Allgemeinen Dies ist ein Satz auf Deutsch..,2
W zasadzie Warszawa jest pięknym miastem....,0
Generally Every morning I drink tea....,1
Ich denke Ich gehe gerne im Wald spazieren und sammle Pilze.!,2
Im Allgemeinen Berlin ist eine wunderschöne Stadt. :),2
Moim zdaniem Lubię oglądać polskie filmy historyczne.,0
"Myślę, że Mój pies szczeka na listonosza..",0
W zasadzie Lubię gotować zupę pomidorową.!,0
Basically My dog barks at the mailman.,1
Moim zdaniem To zadanie było bardzo trudne.,0
Generally I like cooking tomato soup.,1
"Myślę, że Uwielbiam chodzić po lesie i zbierać grzyby..",0
Ich sehe gerne historische deutsche Filme. :),2
To zadanie było bardzo trudne.,0
"Myślę, że To zadanie było bardzo trudne..",0
Üblicherweise Ich gehe gerne im Wald spazieren und sammle Pilze. :),2
Lubię gotować zupę pomidorową.!,0
I think My dog barks at the mailman....,1
W zasadzie Czy czytałeś tę książkę po polsku?.,0
Üblicherweise Berlin ist eine wunderschöne Stadt.!,2
Czasami Uwielbiam chodzić po lesie i zbierać grzyby....,0
Usually I enjoy walking in the forest and collecting mushrooms..,1
Manchmal Ich gehe gerne im Wald spazieren und sammle Pilze.!,2
Moim zdaniem Mój pies szczeka na listonosza.,0
Generally I like watching historical English movies. :),1
Naprawdę To zadanie było bardzo trudne.,0
I think Have you read this book in English?,1
I think Every morning I drink tea.,1
Generally This is a sentence in English..,1
Czasami Czy czytałeś tę książkę po polsku?.,0
Naprawdę Każdego ranka piję herbatę..,0
Ich denke Ich gehe gerne im Wald spazieren und sammle Pilze.,2
Im Allgemeinen Am Wochenende gehe ich spazieren....,2
W zasadzie W weekendy chodzę na spacery. :),0
Am Wochenende gehe ich spazieren.!,2
Basically Have you read this book in English? :),1
Tatsächlich Hast du dieses Buch auf Deutsch gelesen?!,2
Im Allgemeinen Ich sehe gerne historische deutsche Filme..,2
Im Allgemeinen Ich gehe gerne im Wald spazieren und sammle Pilze. :),2
In my opinion Every morning I drink tea. :),1
Basically On weekends I go for walks. :),1
Basically Have you read this book in English?.,1
W zasadzie W weekendy chodzę na spacery.,0
Generally This task was very difficult..,1
W zasadzie Czy czytałeś tę książkę po polsku?...,0
Im Allgemeinen Ich koche gerne Tomatensuppe....,2
"Myślę, że Warszawa jest pięknym miastem..",0
Moim zdaniem Uwielbiam chodzić po lesie i zbierać grzyby. :),0
In my opinion My dog barks at the mailman.!,1
Zazwyczaj W weekendy chodzę na spacery..,0
I like cooking tomato soup....,1
Ich denke Berlin ist eine wunderschöne Stadt.,2
Üblicherweise Dies ist ein Satz auf Deutsch....,2
W zasadzie To zadanie było bardzo trudne.,0
Basically My dog barks at the mailman.!,1
In my opinion This task was very difficult. :),1
Ich denke Dies ist ein Satz auf Deutsch.!,2
Manchmal Berlin ist eine wunderschöne Stadt.,2
Mój pies szczeka na listonosza.!,0
In my opinion This task was very difficult.,1
Meiner Meinung nach Hast du dieses Buch auf Deutsch gelesen?.,2
Meiner Meinung nach Diese Aufgabe war sehr schwierig..,2
Ich denke Ich sehe gerne historische deutsche Filme.,2
Basically Every morning I drink tea..,1
In my opinion On weekends I go for walks....,1
Meiner Meinung nach Am Wochenende gehe ich spazieren.,2
Ich koche gerne Tomatensuppe.,2
Üblicherweise Ich sehe gerne historische deutsche Filme....,2
"Myślę, że W weekendy chodzę na spacery. :)",0
Moim zdaniem To jest zdanie w języku polskim. :),0
Im Allgemeinen Ich sehe gerne historische deutsche Filme....,2
Grundsätzlich Jeden Morgen trinke ich Tee.!,2
Każdego ranka piję herbatę..,0
Naprawdę Lubię gotować zupę pomidorową. :),0
Generally This is a sentence in English....,1
Üblicherweise Dies ist ein Satz auf Deutsch.!,2
Berlin ist eine wunderschöne Stadt.!,2
London is a beautiful city. :),1
In my opinion London is a beautiful city....,1
"Myślę, że Lubię gotować zupę pomidorową....",0
I think I like watching historical English movies. :),1
Na ogół Lubię oglądać polskie filmy historyczne.,0
